,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
80,8.0,0.4234651,0.3173321,0.2913963,0.2631527,0.2643725,0.5002942,0.3420472,0.3207918,0.3032959,0.2796756,0.4387436,0.3701023,0.3848987,0.3017931,0.3001994
81,8.1,0.419091,0.3122719,0.2938444,0.2612105,0.2588712,0.5067475,0.3510723,0.3390839,0.2923799,0.2848818,0.4256826,0.3751752,0.4017248,0.3069512,0.3051764
82,8.2,0.4244343,0.3012387,0.2898204,0.2666692,0.265016,0.5294484,0.3488898,0.3355943,0.2776987,0.2813533,0.3993771,0.3904153,0.385859,0.3040875,0.2926187
83,8.3,0.4191745,0.2972038,0.2865131,0.2708374,0.2691558,0.5250489,0.344512,0.3219153,0.2955277,0.2788676,0.4073905,0.3980688,0.3809176,0.3076921,0.294706
84,8.4,0.4040702,0.3055256,0.2861059,0.2571835,0.2808008,0.5079947,0.3361295,0.3325796,0.2860094,0.2800937,0.401542,0.4139819,0.3582584,0.3066193,0.2915779
85,8.5,0.4109014,0.3039434,0.2738508,0.2647091,0.2743992,0.5169522,0.324399,0.3149724,0.2862755,0.27996,0.3912713,0.3968044,0.3612357,0.2980833,0.2916916
86,8.6,0.4214914,0.3027087,0.2758289,0.2533255,0.2713092,0.4985765,0.3320174,0.3222633,0.3140443,0.2854696,0.3986652,0.4040114,0.3706393,0.3038392,0.2700794
87,8.7,0.421397,0.3071919,0.2668926,0.2685668,0.2693308,0.525067,0.3265964,0.3225963,0.3238953,0.2854567,0.4179246,0.3850671,0.3828319,0.2996188,0.2953929
88,8.8,0.4310358,0.3032752,0.2947718,0.2608597,0.2805403,0.5121899,0.3280742,0.3422477,0.3085589,0.2813985,0.4116885,0.3934043,0.3556301,0.2986744,0.2864675
89,8.9,0.4336724,0.3199671,0.279176,0.2608071,0.2784902,0.4981436,0.3400166,0.3223957,0.327321,0.2893259,0.4035501,0.3939754,0.3554923,0.2986597,0.2805222
90,9.0,0.4475391,0.3186973,0.28653,0.2610549,0.2765881,0.5166474,0.3408933,0.3203304,0.3143785,0.2975562,0.4403421,0.3968741,0.3732161,0.3024789,0.2789935
91,9.1,0.4494052,0.3146057,0.2916458,0.2746574,0.2782903,0.5231479,0.3406918,0.3162087,0.3196698,0.2972819,0.4387202,0.4188113,0.3727068,0.2907287,0.2848735
92,9.2,0.4281424,0.3258736,0.3088893,0.2716138,0.2842978,0.521668,0.3270024,0.325679,0.3222252,0.2984694,0.4238318,0.4043155,0.3528309,0.2943027,0.2909745
93,9.3,0.4422779,0.335282,0.3014052,0.2920275,0.27823,0.531343,0.3428528,0.3293442,0.3249035,0.295019,0.4096747,0.3996713,0.3678916,0.3082348,0.2840896
94,9.4,0.4539798,0.3369562,0.2904397,0.2766984,0.2801286,0.524938,0.3401392,0.3373277,0.3057152,0.2927153,0.4187562,0.398413,0.3601253,0.3113818,0.2985109
95,9.5,0.4397505,0.3245604,0.3061472,0.2800286,0.2813121,0.5290026,0.3364553,0.3346704,0.2975462,0.2904534,0.4114477,0.3895322,0.353632,0.3021849,0.3001664
96,9.6,0.4444037,0.3249752,0.2952498,0.266174,0.2782804,0.5061426,0.3383103,0.3318661,0.2909382,0.2942697,0.4201574,0.3860539,0.3745506,0.3030626,0.2990113
97,9.7,0.4690886,0.3271662,0.3049202,0.2720848,0.2778419,0.5028921,0.3587337,0.3326648,0.3024397,0.2915841,0.4324211,0.3864287,0.362168,0.3126185,0.3219446
98,9.8,0.4769926,0.3158648,0.3130203,0.269568,0.2634009,0.4937803,0.3552819,0.3333828,0.2881406,0.2814248,0.4226027,0.3927822,0.3680552,0.3115208,0.316727
99,9.9,0.4815694,0.3230602,0.3174391,0.2733281,0.2670063,0.476968,0.3577796,0.3421893,0.2892903,0.2816603,0.4495102,0.377908,0.3589097,0.3188457,0.3054372
100,10.0,0.4905303,0.3355179,0.3058249,0.2546012,0.2644539,0.4843656,0.3439312,0.3122905,0.2963454,0.2896389,0.4357863,0.3960042,0.3801602,0.3161489,0.2808393
101,10.1,0.4822547,0.3420558,0.2849619,0.2610106,0.2753054,0.5008816,0.3568873,0.3261018,0.2962113,0.2886675,0.4438466,0.4033979,0.3980185,0.319353,0.29459
102,10.2,0.4964954,0.337661,0.2895626,0.2569661,0.2709837,0.4968244,0.3592348,0.309762,0.290122,0.2861145,0.4429217,0.3776432,0.3778364,0.3063936,0.2856941
103,10.3,0.48666739999999997,0.3332826,0.3016343,0.2638621,0.2713201,0.5233277,0.3688251,0.3220261,0.3001502,0.2876199,0.4303145,0.3746825,0.3990603,0.3031558,0.3050956
104,10.4,0.4978515,0.3369415,0.3013793,0.2567698,0.2811935,0.5361006,0.3546409,0.3231713,0.3030826,0.2790433,0.4124787,0.3744301,0.414761,0.2911696,0.3104134
105,10.5,0.4913971,0.3389243,0.3102308,0.260899,0.2710781,0.5091951,0.330779,0.3254749,0.3108638,0.2792102,0.4146404,0.3867564,0.3817011,0.3160603,0.3206547
106,10.6,0.4882218,0.3375334,0.3088059,0.2663158,0.2755672,0.5250313,0.3479533,0.3226218,0.3259037,0.2857408,0.4035758,0.3844226,0.3725873,0.3299698,0.3274986
107,10.7,0.4894569,0.3333625,0.3018419,0.2617987,0.2707509,0.5403991,0.3347177,0.3339696,0.329703,0.2848076,0.4165664,0.366838,0.3703208,0.3151986,0.3214551
108,10.8,0.4862753,0.3393224,0.3116055,0.259848,0.272005,0.5388594,0.3630747,0.3140782,0.3135462,0.2910811,0.4210641,0.3702622,0.3670272,0.3090374,0.3311218
109,10.9,0.466983,0.3381269,0.3185255,0.2611392,0.2666748,0.5266092,0.356921,0.3294846,0.3246635,0.2866462,0.4152393,0.3764475,0.3532076,0.3004762,0.3321461
110,11.0,0.4587778,0.3440726,0.2947274,0.2551911,0.2800673,0.5352533,0.371185,0.3343626,0.3114884,0.2926828,0.4344397,0.3843207,0.3521567,0.3064107,0.316144
111,11.1,0.4808297,0.342426,0.299655,0.2520102,0.2665148,0.5277899,0.3750942,0.328653,0.2993153,0.2927452,0.4487974,0.3806925,0.3732276,0.3291014,0.3168782
